64,"Compact NSX 400A, 4P MCCB, 36kA with MP based O/L & S/C release",Schneider,Compact NSX,C40F42D400,1,31000,compact
65,"Compact NSX 630A, 4P MCCB, 36kA with MP based O/L & S/C release",Schneider,Compact NSX,C63F42D630,1,37000,compact
66,"Compact NSX 400A, 3P MCCB, 50kA with MP based O/L & S/C release",Schneider,Compact NSX,C40N32D400,1,28000,compact
67,"Compact NSX 630A, 3P MCCB, 50kA with MP based O/L & S/C release",Schneider,Compact NSX,C63N32D630,1,29000,compact
68,"Compact NSX 400A, 4P MCCB, 50kA with MP based O/L & S/C release",Schneider,Compact NSX,C40N42D400,1,36000,compact
69,"Compact NSX 630A, 4P MCCB, 50kA with MP based O/L & S/C release",Schneider,Compact NSX,C63N42D630,1,38000,compact
70,"Compact NSX 400A, 3P MCCB, 36kA with MP based LSIG release",Schneider,Compact NSX,C40F36E400,1,28000,compact
71,"Compact NSX 630A, 3P MCCB, 36kA with MP based LSIG release",Schneider,Compact NSX,C63F36E630,1,32000,compact
72,"Compact NSX 400A, 4P MCCB, 36kA with MP based LSIG release",Schneider,Compact NSX,C40F46E400,1,31000,compact
73,"Compact NSX 630A, 4P MCCB, 36kA with MP based LSIG release",Schneider,Compact NSX,C63F46E630,1,37000,compact
74,"Compact NSX 400A, 3P MCCB, 50kA with MP based LSIG release",Schneider,Compact NSX,C40N36E400,1,28000,compact
75,"Compact NSX 630A, 3P MCCB, 50kA with MP based LSIG release",Schneider,Compact NSX,C63N36E630,1,32000,compact
76,"Compact NSX 400A, 4P MCCB, 50kA with MP based LSIG release",Schneider,Compact NSX,C40N46E400,1,35000,compact
77,"Compact NSX 630A, 4P MCCB, 50kA with MP based LSIG release",Schneider,Compact NSX,C63N46E630,1,40000,compact
